"Título de trazado: LDCapSwampHoboTRH"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 20744890, SEN S/N: 20744890, LBL: TempC)","HR, % (LGR S/N: 20744890, SEN S/N: 20744890, LBL: %)","Acoplador separado (LGR S/N: 20744890)","Acoplador adjunto (LGR S/N: 20744890)","Host conectado (LGR S/N: 20744890)","Final de archivo (LGR S/N: 20744890)"
1073,02/04/25 10:30:00 p.m.,3.880,98.309,,,,
1074,02/04/25 11:00:00 p.m.,3.089,98.423,,,,
1075,02/04/25 11:30:00 p.m.,2.236,98.326,,,,
1076,02/05/25 12:00:00 a.m.,1.751,98.618,,,,
1077,02/05/25 12:30:00 a.m.,1.425,98.716,,,,
1078,02/05/25 01:00:00 a.m.,1.099,98.908,,,,
1079,02/05/25 01:30:00 a.m.,1.805,99.206,,,,
1080,02/05/25 02:00:00 a.m.,2.877,99.466,,,,
1081,02/05/25 02:30:00 a.m.,2.744,99.523,,,,
1082,02/05/25 03:00:00 a.m.,2.823,99.594,,,,
1083,02/05/25 03:30:00 a.m.,3.009,99.838,,,,
1084,02/05/25 04:00:00 a.m.,3.036,99.798,,,,
1085,02/05/25 04:30:00 a.m.,2.850,99.840,,,,
1086,02/05/25 05:00:00 a.m.,2.930,100.000,,,,
1087,02/05/25 05:30:00 a.m.,2.262,99.813,,,,
1088,02/05/25 06:00:00 a.m.,1.099,99.714,,,,
1089,02/05/25 06:30:00 a.m.,1.180,100.000,,,,
1090,02/05/25 07:00:00 a.m.,2.396,100.000,,,,
1091,02/05/25 07:30:00 a.m.,4.089,100.000,,,,
1092,02/05/25 08:00:00 a.m.,5.668,100.000,,,,
1093,02/05/25 08:30:00 a.m.,6.839,100.000,,,,
1094,02/05/25 09:00:00 a.m.,7.645,100.000,,,,
1095,02/05/25 09:30:00 a.m.,11.516,88.570,,,,
1096,02/05/25 10:00:00 a.m.,13.185,85.520,,,,
1097,02/05/25 10:30:00 a.m.,15.939,75.861,,,,
1098,02/05/25 11:00:00 a.m.,14.721,75.556,,,,
1099,02/05/25 11:30:00 a.m.,15.939,73.450,,,,
1100,02/05/25 12:00:00 p.m.,15.223,71.912,,,,
1101,02/05/25 12:30:00 p.m.,14.721,66.798,,,,
1102,02/05/25 01:00:00 p.m.,12.025,79.239,,,,
1103,02/05/25 01:30:00 p.m.,12.001,76.531,,,,
1104,02/05/25 02:00:00 p.m.,11.710,78.951,,,,
1105,02/05/25 02:30:00 p.m.,16.534,66.157,,,,
1106,02/05/25 03:00:00 p.m.,13.401,76.349,,,,
1107,02/05/25 03:30:00 p.m.,12.413,70.002,,,,
1108,02/05/25 04:00:00 p.m.,16.630,67.843,,,,
1109,02/05/25 04:30:00 p.m.,12.630,71.608,,,,
1110,02/05/25 05:00:00 p.m.,11.005,77.646,,,,
1111,02/05/25 05:30:00 p.m.,10.173,79.655,,,,
1112,02/05/25 06:00:00 p.m.,9.485,82.522,,,,
1113,02/05/25 06:30:00 p.m.,6.788,82.173,,,,
1114,02/05/25 07:00:00 p.m.,4.895,87.388,,,,
1115,02/05/25 07:30:00 p.m.,4.089,90.668,,,,
1116,02/05/25 08:00:00 p.m.,2.770,91.878,,,,
1117,02/05/25 08:30:00 p.m.,1.697,92.783,,,,
1118,02/05/25 09:00:00 p.m.,1.344,94.013,,,,
1119,02/05/25 09:30:00 p.m.,0.550,94.698,,,,
1120,02/05/25 10:00:00 p.m.,0.632,95.568,,,,
1121,02/05/25 10:30:00 p.m.,1.262,96.321,,,,
1122,02/05/25 11:00:00 p.m.,3.195,97.052,,,,
1123,02/05/25 11:30:00 p.m.,2.930,97.003,,,,
1124,02/06/25 12:00:00 a.m.,3.327,97.283,,,,
1125,02/06/25 12:30:00 a.m.,4.063,97.731,,,,
1126,02/06/25 01:00:00 a.m.,3.722,97.636,,,,
1127,02/06/25 01:30:00 a.m.,2.074,97.223,,,,
1128,02/06/25 02:00:00 a.m.,3.274,97.752,,,,
1129,02/06/25 02:30:00 a.m.,3.301,97.760,,,,
1130,02/06/25 03:00:00 a.m.,1.697,97.790,,,,
1131,02/06/25 03:30:00 a.m.,0.934,97.766,,,,
1132,02/06/25 04:00:00 a.m.,0.273,97.960,,,,
1133,02/06/25 04:30:00 a.m.,1.208,98.416,,,,
1134,02/06/25 05:00:00 a.m.,2.128,98.582,,,,
1135,02/06/25 05:30:00 a.m.,2.289,98.628,,,,
1136,02/06/25 06:00:00 a.m.,1.071,98.425,,,,
1137,02/06/25 06:30:00 a.m.,0.605,98.767,,,,
1138,02/06/25 07:00:00 a.m.,2.877,99.203,,,,
1139,02/06/25 07:30:00 a.m.,4.402,99.350,,,,
1140,02/06/25 08:00:00 a.m.,6.661,99.848,,,,
1141,02/06/25 08:30:00 a.m.,8.270,98.564,,,,
1142,02/06/25 09:00:00 a.m.,8.245,97.816,,,,
1143,02/06/25 09:30:00 a.m.,8.618,95.326,,,,
1144,02/06/25 10:00:00 a.m.,9.015,93.767,,,,
1145,02/06/25 10:30:00 a.m.,14.577,84.117,,,,
1146,02/06/25 11:00:00 a.m.,12.485,77.851,,,,
1147,02/06/25 11:30:00 a.m.,11.565,79.139,,,,
1148,02/06/25 12:00:00 p.m.,8.717,84.024,,,,
1149,02/06/25 12:30:00 p.m.,9.682,90.201,,,,
1150,02/06/25 01:00:00 p.m.,9.213,90.238,,,,
1151,02/06/25 01:30:00 p.m.,9.312,93.312,,,,
1152,02/06/25 02:00:00 p.m.,9.756,86.777,,,,
1153,02/06/25 02:30:00 p.m.,11.175,79.547,,,,
1154,02/06/25 03:00:00 p.m.,10.736,75.602,,,,
1155,02/06/25 03:30:00 p.m.,14.433,72.130,,,,
1156,02/06/25 04:00:00 p.m.,12.195,73.948,,,,
1157,02/06/25 04:30:00 p.m.,9.682,80.576,,,,
1158,02/06/25 05:00:00 p.m.,10.296,80.007,,,,
1159,02/06/25 05:30:00 p.m.,9.114,81.043,,,,
1160,02/06/25 06:00:00 p.m.,6.611,85.317,,,,
1161,02/06/25 06:30:00 p.m.,5.024,88.853,,,,
1162,02/06/25 07:00:00 p.m.,3.116,90.217,,,,
1163,02/06/25 07:30:00 p.m.,2.343,92.584,,,,
1164,02/06/25 08:00:00 p.m.,2.477,94.221,,,,
1165,02/06/25 08:30:00 p.m.,1.480,94.733,,,,
1166,02/06/25 09:00:00 p.m.,1.534,95.477,,,,
1167,02/06/25 09:30:00 p.m.,0.577,95.794,,,,
1168,02/06/25 10:00:00 p.m.,1.099,96.372,,,,
1169,02/06/25 10:30:00 p.m.,1.180,96.996,,,,
1170,02/06/25 11:00:00 p.m.,2.074,97.608,,,,
1171,02/06/25 11:30:00 p.m.,1.886,97.771,,,,
1172,02/07/25 12:00:00 a.m.,1.886,97.939,,,,
1173,02/07/25 12:30:00 a.m.,1.071,97.900,,,,
1174,02/07/25 01:00:00 a.m.,0.163,97.928,,,,
1175,02/07/25 01:30:00 a.m.,0.825,98.355,,,,
1176,02/07/25 02:00:00 a.m.,1.208,98.654,,,,
1177,02/07/25 02:30:00 a.m.,2.396,98.946,,,,
1178,02/07/25 03:00:00 a.m.,1.967,98.847,,,,
1179,02/07/25 03:30:00 a.m.,1.371,98.891,,,,
1180,02/07/25 04:00:00 a.m.,0.107,98.743,,,,
1181,02/07/25 04:30:00 a.m.,0.660,99.233,,,,
1182,02/07/25 05:00:00 a.m.,1.724,99.420,,,,
1183,02/07/25 05:30:00 a.m.,1.886,99.324,,,,
1184,02/07/25 06:00:00 a.m.,0.797,99.154,,,,
1185,02/07/25 06:30:00 a.m.,0.962,99.675,,,,
1186,02/07/25 07:00:00 a.m.,2.074,99.688,,,,
1187,02/07/25 07:30:00 a.m.,2.557,99.851,,,,
1188,02/07/25 08:00:00 a.m.,5.308,100.000,,,,
1189,02/07/25 08:30:00 a.m.,7.066,99.939,,,,
1190,02/07/25 09:00:00 a.m.,10.247,98.469,,,,
1191,02/07/25 09:30:00 a.m.,12.582,82.903,,,,
1192,02/07/25 10:00:00 a.m.,13.594,79.413,,,,
1193,02/07/25 10:30:00 a.m.,13.377,75.757,,,,
1194,02/07/25 11:00:00 a.m.,13.401,76.739,,,,
1195,02/07/25 11:30:00 a.m.,14.840,69.917,,,,
1196,02/07/25 12:00:00 p.m.,16.177,68.052,,,,
1197,02/07/25 12:30:00 p.m.,17.130,62.473,,,,
1198,02/07/25 01:00:00 p.m.,12.122,73.653,,,,
1199,02/07/25 01:30:00 p.m.,9.485,84.335,,,,
1200,02/07/25 02:00:00 p.m.,9.361,88.200,,,,
1201,02/07/25 02:30:00 p.m.,10.320,86.465,,,,
1202,02/07/25 03:00:00 p.m.,13.786,77.349,,,,
1203,02/07/25 03:30:00 p.m.,13.954,70.037,,,,
1204,02/07/25 04:00:00 p.m.,11.029,77.652,,,,
1205,02/07/25 04:30:00 p.m.,10.001,83.843,,,,
1206,02/07/25 05:00:00 p.m.,9.952,82.897,,,,
1207,02/07/25 05:30:00 p.m.,9.534,83.442,,,,
1208,02/07/25 06:00:00 p.m.,8.965,85.008,,,,
1209,02/07/25 06:30:00 p.m.,8.070,88.298,,,,
1210,02/07/25 07:00:00 p.m.,7.242,90.612,,,,
1211,02/07/25 07:30:00 p.m.,6.889,93.007,,,,
1212,02/07/25 08:00:00 p.m.,6.230,93.437,,,,
1213,02/07/25 08:30:00 p.m.,5.924,94.156,,,,
1214,02/07/25 09:00:00 p.m.,6.153,95.610,,,,
1215,02/07/25 09:30:00 p.m.,5.539,95.641,,,,
1216,02/07/25 10:00:00 p.m.,5.565,96.388,,,,
1217,02/07/25 10:30:00 p.m.,5.282,96.703,,,,
1218,02/07/25 11:00:00 p.m.,5.231,97.081,,,,
1219,02/07/25 11:30:00 p.m.,5.924,97.469,,,,
1220,02/08/25 12:00:00 a.m.,5.949,97.574,,,,
1221,02/08/25 12:30:00 a.m.,5.745,97.664,,,,
1222,02/08/25 01:00:00 a.m.,5.847,97.839,,,,
1223,02/08/25 01:30:00 a.m.,5.796,98.021,,,,
1224,02/08/25 02:00:00 a.m.,5.796,98.118,,,,
1225,02/08/25 02:30:00 a.m.,5.719,98.219,,,,
1226,02/08/25 03:00:00 a.m.,5.693,98.090,,,,
1227,02/08/25 03:30:00 a.m.,5.642,97.856,,,,
1228,02/08/25 04:00:00 a.m.,5.847,97.937,,,,
1229,02/08/25 04:30:00 a.m.,5.847,97.937,,,,
1230,02/08/25 05:00:00 a.m.,5.898,97.658,,,,
1231,02/08/25 05:30:00 a.m.,5.975,97.041,,,,
1232,02/08/25 06:00:00 a.m.,5.847,96.981,,,,
1233,02/08/25 06:30:00 a.m.,5.693,97.356,,,,
1234,02/08/25 07:00:00 a.m.,5.949,97.770,,,,
1235,02/08/25 07:30:00 a.m.,6.611,97.291,,,,
1236,02/08/25 08:00:00 a.m.,7.419,95.654,,,,
1237,02/08/25 08:30:00 a.m.,9.534,92.477,,,,
1238,02/08/25 09:00:00 a.m.,9.928,88.365,,,,
1239,02/08/25 09:30:00 a.m.,10.614,87.720,,,,
1240,02/08/25 10:00:00 a.m.,10.663,86.731,,,,
1241,02/08/25 10:30:00 a.m.,11.370,86.980,,,,
1242,02/08/25 11:00:00 a.m.,12.122,79.890,,,,
1243,02/08/25 11:30:00 a.m.,13.425,78.907,,,,
1244,02/08/25 12:00:00 p.m.,13.906,74.236,,,,
1245,02/08/25 12:30:00 p.m.,14.984,84.861,,,,
1246,02/08/25 01:00:00 p.m.,17.177,67.123,,,,
1247,02/08/25 01:30:00 p.m.,18.152,60.091,,,,
1248,02/08/25 02:00:00 p.m.,16.272,62.657,,,,
1249,02/08/25 02:30:00 p.m.,15.031,65.540,,,,
1250,02/08/25 03:00:00 p.m.,15.294,66.318,,,,
1251,02/08/25 03:30:00 p.m.,14.481,70.395,,,,
1252,02/08/25 04:00:00 p.m.,11.856,73.628,,,,
1253,02/08/25 04:30:00 p.m.,11.540,72.638,,,,
1254,02/08/25 05:00:00 p.m.,11.419,74.686,,,,
1255,02/08/25 05:30:00 p.m.,9.287,85.401,,,,
1256,02/08/25 06:00:00 p.m.,8.568,85.862,,,,
1257,02/08/25 06:30:00 p.m.,7.845,87.152,,,,
1258,02/08/25 07:00:00 p.m.,7.469,89.362,,,,
1259,02/08/25 07:30:00 p.m.,6.965,92.244,,,,
1260,02/08/25 08:00:00 p.m.,6.611,92.984,,,,
1261,02/08/25 08:30:00 p.m.,6.026,93.483,,,,
1262,02/08/25 09:00:00 p.m.,5.437,94.250,,,,
1263,02/08/25 09:30:00 p.m.,4.610,94.549,,,,
1264,02/08/25 10:00:00 p.m.,2.983,94.652,,,,
1265,02/08/25 10:30:00 p.m.,3.433,95.950,,,,
1266,02/08/25 11:00:00 p.m.,3.749,96.525,,,,
1267,02/08/25 11:30:00 p.m.,3.932,96.795,,,,
1268,02/09/25 12:00:00 a.m.,3.380,97.104,,,,
1269,02/09/25 12:30:00 a.m.,2.316,97.049,,,,
1270,02/09/25 01:00:00 a.m.,2.262,97.709,,,,
1271,02/09/25 01:30:00 a.m.,2.610,97.999,,,,
1272,02/09/25 02:00:00 a.m.,2.770,98.093,,,,
1273,02/09/25 02:30:00 a.m.,4.011,98.612,,,,
1274,02/09/25 03:00:00 a.m.,4.895,98.765,,,,
1275,02/09/25 03:30:00 a.m.,4.869,98.758,,,,
1276,02/09/25 04:00:00 a.m.,1.940,98.338,,,,
1277,02/09/25 04:30:00 a.m.,5.024,99.116,,,,
1278,02/09/25 05:00:00 a.m.,4.454,99.027,,,,
1279,02/09/25 05:30:00 a.m.,3.485,98.872,,,,
1280,02/09/25 06:00:00 a.m.,1.967,98.966,,,,
1281,02/09/25 06:30:00 a.m.,1.289,99.011,,,,
1282,02/09/25 07:00:00 a.m.,1.805,99.301,,,,
1283,02/09/25 07:30:00 a.m.,3.354,99.555,,,,
1284,02/09/25 08:00:00 a.m.,7.343,99.920,,,,
1285,02/09/25 08:30:00 a.m.,7.645,99.297,,,,
1286,02/09/25 09:00:00 a.m.,11.807,88.300,,,,
1287,02/09/25 09:30:00 a.m.,12.606,79.831,,,,
1288,02/09/25 10:00:00 a.m.,14.912,76.353,,,,
1289,02/09/25 10:30:00 a.m.,16.892,64.777,,,,
1290,02/09/25 11:00:00 a.m.,15.891,62.028,,,,
1291,02/09/25 11:30:00 a.m.,15.700,62.946,,,,
1292,02/09/25 12:00:00 p.m.,19.341,54.320,,,,
1293,02/09/25 12:30:00 p.m.,18.438,54.528,,,,
1294,02/09/25 01:00:00 p.m.,15.963,56.847,,,,
1295,02/09/25 01:30:00 p.m.,15.796,60.821,,,,
1296,02/09/25 02:00:00 p.m.,16.701,55.895,,,,
1297,02/09/25 02:30:00 p.m.,12.534,80.007,,,,
1298,02/09/25 03:00:00 p.m.,17.011,60.119,,,,
1299,02/09/25 03:30:00 p.m.,17.272,61.660,,,,
1300,02/09/25 04:00:00 p.m.,16.987,55.999,,,,
1301,02/09/25 04:30:00 p.m.,14.721,58.464,,,,
1302,02/09/25 05:00:00 p.m.,11.346,71.020,,,,
1303,02/09/25 05:30:00 p.m.,9.213,77.348,,,,
1304,02/09/25 06:00:00 p.m.,7.142,81.509,,,,
1305,02/09/25 06:30:00 p.m.,4.973,85.134,,,,
1306,02/09/25 07:00:00 p.m.,4.141,89.596,,,,
1307,02/09/25 07:30:00 p.m.,3.617,91.800,,,,
1308,02/09/25 08:00:00 p.m.,2.343,92.485,,,,
1309,02/09/25 08:30:00 p.m.,4.063,94.698,,,,
1310,02/09/25 09:00:00 p.m.,5.076,95.466,,,,
1311,02/09/25 09:30:00 p.m.,4.011,95.569,,,,
1312,02/09/25 10:00:00 p.m.,4.688,96.368,,,,
1313,02/09/25 10:30:00 p.m.,5.282,96.556,,,,
1314,02/09/25 11:00:00 p.m.,5.616,96.795,,,,
1315,02/09/25 11:30:00 p.m.,5.745,96.806,,,,
1316,02/10/25 12:00:00 a.m.,4.869,96.099,,,,
1317,02/10/25 12:30:00 a.m.,3.274,95.809,,,,
1318,02/10/25 01:00:00 a.m.,3.591,96.140,,,,
1319,02/10/25 01:30:00 a.m.,2.396,96.006,,,,
1320,02/10/25 02:00:00 a.m.,2.343,96.549,,,,
1321,02/10/25 02:30:00 a.m.,2.930,97.172,,,,
1322,02/10/25 03:00:00 a.m.,3.617,97.558,,,,
1323,02/10/25 03:30:00 a.m.,3.722,97.733,,,,
1324,02/10/25 04:00:00 a.m.,3.459,97.901,,,,
1325,02/10/25 04:30:00 a.m.,3.722,98.120,,,,
1326,02/10/25 05:00:00 a.m.,3.775,98.231,,,,
1327,02/10/25 05:30:00 a.m.,3.880,98.261,,,,
1328,02/10/25 06:00:00 a.m.,3.406,98.224,,,,
1329,02/10/25 06:30:00 a.m.,3.221,98.340,,,,
1330,02/10/25 07:00:00 a.m.,3.854,98.736,,,,
1331,02/10/25 07:30:00 a.m.,6.281,99.229,,,,
1332,02/10/25 08:00:00 a.m.,7.469,98.733,,,,
1333,02/10/25 08:30:00 a.m.,8.965,96.971,,,,
1334,02/10/25 09:00:00 a.m.,9.485,90.254,,,,
1335,02/10/25 09:30:00 a.m.,10.492,87.033,,,,
1336,02/10/25 10:00:00 a.m.,10.638,86.091,,,,
1337,02/10/25 10:30:00 a.m.,12.243,83.151,,,,
1338,02/10/25 11:00:00 a.m.,12.871,79.312,,,,
1339,02/10/25 11:30:00 a.m.,13.112,75.647,,,,
1340,02/10/25 12:00:00 p.m.,15.581,72.696,,,,
1341,02/10/25 12:30:00 p.m.,17.034,62.397,,,,
1342,02/10/25 01:00:00 p.m.,15.629,64.440,,,,
1343,02/10/25 01:30:00 p.m.,15.843,63.858,,,,
1344,02/10/25 02:00:00 p.m.,17.415,60.785,,,,
1345,02/10/25 02:30:00 p.m.,16.296,64.024,,,,
1346,02/10/25 03:00:00 p.m.,13.930,67.323,,,,
1347,02/10/25 03:30:00 p.m.,13.088,72.661,,,,
1348,02/10/25 04:00:00 p.m.,12.606,72.735,,,,
1349,02/10/25 04:30:00 p.m.,11.127,78.606,,,,
1350,02/10/25 05:00:00 p.m.,9.583,84.836,,,,
1351,02/10/25 05:30:00 p.m.,9.756,85.168,,,,
1352,02/10/25 06:00:00 p.m.,9.064,87.814,,,,
1353,02/10/25 06:30:00 p.m.,7.720,88.419,,,,
1354,02/10/25 07:00:00 p.m.,7.041,89.563,,,,
1355,02/10/25 07:30:00 p.m.,7.116,92.157,,,,
1356,02/10/25 08:00:00 p.m.,5.668,90.922,,,,
1357,02/10/25 08:30:00 p.m.,5.539,93.254,,,,
1358,02/10/25 09:00:00 p.m.,5.257,93.878,,,,
1359,02/10/25 09:30:00 p.m.,5.437,94.722,,,,
1360,02/10/25 10:00:00 p.m.,5.385,94.956,,,,
1361,02/10/25 10:30:00 p.m.,4.662,94.860,,,,
1362,02/10/25 11:00:00 p.m.,3.985,95.464,,,,
1363,02/10/25 11:30:00 p.m.,4.220,96.264,,,,
1364,02/11/25 12:00:00 a.m.,4.792,96.764,,,,
1365,02/11/25 12:30:00 a.m.,4.558,96.993,,,,
1366,02/11/25 01:00:00 a.m.,4.636,97.405,,,,
1367,02/11/25 01:30:00 a.m.,5.076,97.673,,,,
1368,02/11/25 02:00:00 a.m.,4.895,97.574,,,,
1369,02/11/25 02:30:00 a.m.,4.037,97.457,,,,
1370,02/11/25 03:00:00 a.m.,3.195,97.609,,,,
1371,02/11/25 03:30:00 a.m.,3.459,97.949,,,,
1372,02/11/25 04:00:00 a.m.,3.512,98.109,,,,
1373,02/11/25 04:30:00 a.m.,3.512,98.181,,,,
1374,02/11/25 05:00:00 a.m.,2.823,98.011,,,,
1375,02/11/25 05:30:00 a.m.,3.512,98.687,,,,
1376,02/11/25 06:00:00 a.m.,4.141,98.938,,,,
1377,02/11/25 06:30:00 a.m.,4.844,98.968,,,,
1378,02/11/25 07:00:00 a.m.,5.591,99.277,,,,
1379,02/11/25 07:30:00 a.m.,6.712,99.449,,,,
1380,02/11/25 08:00:00 a.m.,7.268,99.460,,,,
1381,02/11/25 08:30:00 a.m.,8.245,99.687,,,,
1382,02/11/25 09:00:00 a.m.,9.756,95.958,,,,
1383,02/11/25 09:30:00 a.m.,10.956,90.598,,,,
1384,02/11/25 10:00:00 a.m.,11.467,86.103,,,,
1385,02/11/25 10:30:00 a.m.,13.137,79.754,,,,
1386,02/11/25 11:00:00 a.m.,12.920,79.570,,,,
1387,02/11/25 11:30:00 a.m.,13.353,76.311,,,,
1388,02/11/25 12:00:00 p.m.,12.896,76.884,,,,
1389,02/11/25 12:30:00 p.m.,10.687,82.150,,,,
1390,02/11/25 01:00:00 p.m.,9.903,86.655,,,,
1391,02/11/25 01:30:00 p.m.,9.632,89.307,,,,
1392,02/11/25 02:00:00 p.m.,10.124,90.777,,,,
1393,02/11/25 02:30:00 p.m.,8.916,94.953,,,,
1394,02/11/25 03:00:00 p.m.,8.668,95.866,,,,
1395,02/11/25 03:30:00 p.m.,8.965,97.046,,,,
1396,02/11/25 04:00:00 p.m.,9.731,97.878,,,,
1397,02/11/25 04:30:00 p.m.,8.866,97.839,,,,
1398,02/11/25 05:00:00 p.m.,8.494,97.687,,,,
1399,02/11/25 05:30:00 p.m.,7.519,96.129,,,,
1400,02/11/25 06:00:00 p.m.,7.469,96.339,,,,
1401,02/11/25 06:30:00 p.m.,6.737,96.214,,,,
1402,02/11/25 07:00:00 p.m.,6.331,96.499,,,,
1403,02/11/25 07:30:00 p.m.,6.179,97.024,,,,
1404,02/11/25 08:00:00 p.m.,6.153,97.434,,,,
1405,02/11/25 08:30:00 p.m.,6.077,97.708,,,,
1406,02/11/25 09:00:00 p.m.,5.949,98.015,,,,
1407,02/11/25 09:30:00 p.m.,5.847,98.303,,,,
1408,02/11/25 10:00:00 p.m.,5.770,98.599,,,,
1409,02/11/25 10:30:00 p.m.,5.770,98.793,,,,
1410,02/11/25 11:00:00 p.m.,5.514,98.964,,,,
1411,02/11/25 11:30:00 p.m.,5.257,99.085,,,,
1412,02/12/25 12:00:00 a.m.,5.076,99.228,,,,
1413,02/12/25 12:30:00 a.m.,5.076,99.373,,,,
1414,02/12/25 01:00:00 a.m.,5.024,99.503,,,,
1415,02/12/25 01:30:00 a.m.,5.179,99.523,,,,
1416,02/12/25 02:00:00 a.m.,4.792,99.630,,,,
1417,02/12/25 02:30:00 a.m.,4.947,99.722,,,,
1418,02/12/25 03:00:00 a.m.,4.766,99.429,,,,
1419,02/12/25 03:30:00 a.m.,4.246,99.137,,,,
1420,02/12/25 04:00:00 a.m.,4.740,99.253,,,,
1421,02/12/25 04:30:00 a.m.,4.895,99.273,,,,
1422,02/12/25 05:00:00 a.m.,4.402,99.229,,,,
1423,02/12/25 05:30:00 a.m.,3.932,99.240,,,,
1424,02/12/25 06:00:00 a.m.,3.433,99.194,,,,
1425,02/12/25 06:30:00 a.m.,2.877,99.322,,,,
1426,02/12/25 07:00:00 a.m.,2.610,99.389,,,,
1427,02/12/25 07:30:00 a.m.,5.745,99.660,,,,
1428,02/12/25 08:00:00 a.m.,7.995,100.000,,,,
1429,02/12/25 08:30:00 a.m.,8.444,100.000,,,,
1430,02/12/25 09:00:00 a.m.,9.386,100.000,,,,
1431,02/12/25 09:30:00 a.m.,8.841,98.846,,,,
1432,02/12/25 10:00:00 a.m.,9.583,95.459,,,,
1433,02/12/25 10:30:00 a.m.,11.029,93.120,,,,
1434,02/12/25 11:00:00 a.m.,11.029,88.923,,,,
1435,02/12/25 11:30:00 a.m.,12.606,85.545,,,,
1436,02/12/25 12:00:00 p.m.,15.031,77.610,,,,
1437,02/12/25 12:30:00 p.m.,12.751,78.900,,,,
1438,02/12/25 01:00:00 p.m.,12.268,80.058,,,,
1439,02/12/25 01:30:00 p.m.,12.243,80.135,,,,
1440,02/12/25 02:00:00 p.m.,11.540,80.662,,,,
1441,02/12/25 02:30:00 p.m.,12.001,79.179,,,,
1442,02/12/25 03:00:00 p.m.,11.637,80.002,,,,
1443,02/12/25 03:30:00 p.m.,12.364,78.817,,,,
1444,02/12/25 04:00:00 p.m.,12.050,80.420,,,,
1445,02/12/25 04:30:00 p.m.,11.346,84.127,,,,
1446,02/12/25 05:00:00 p.m.,11.151,85.257,,,,
1447,02/12/25 05:30:00 p.m.,10.001,84.668,,,,
1448,02/12/25 06:00:00 p.m.,8.643,89.579,,,,
1449,02/12/25 06:30:00 p.m.,7.820,92.796,,,,
1450,02/12/25 07:00:00 p.m.,7.343,94.584,,,,
1451,02/12/25 07:30:00 p.m.,7.066,95.509,,,,
1452,02/12/25 08:00:00 p.m.,6.839,96.093,,,,
1453,02/12/25 08:30:00 p.m.,6.661,96.515,,,,
1454,02/12/25 09:00:00 p.m.,6.712,97.097,,,,
1455,02/12/25 09:30:00 p.m.,6.687,97.681,,,,
1456,02/12/25 10:00:00 p.m.,6.611,98.003,,,,
1457,02/12/25 10:30:00 p.m.,6.560,98.283,,,,
1458,02/12/25 11:00:00 p.m.,6.535,98.496,,,,
1459,02/12/25 11:30:00 p.m.,6.535,98.667,,,,
1460,02/13/25 12:00:00 a.m.,6.509,98.807,,,,
1461,02/13/25 12:30:00 a.m.,6.408,98.924,,,,
1462,02/13/25 01:00:00 a.m.,6.281,99.035,,,,
1463,02/13/25 01:30:00 a.m.,6.204,99.159,,,,
1464,02/13/25 02:00:00 a.m.,6.153,99.242,,,,
1465,02/13/25 02:30:00 a.m.,6.102,99.325,,,,
1466,02/13/25 03:00:00 a.m.,6.051,99.407,,,,
1467,02/13/25 03:30:00 a.m.,6.128,99.526,,,,
1468,02/13/25 04:00:00 a.m.,6.128,99.575,,,,
1469,02/13/25 04:30:00 a.m.,6.051,99.626,,,,
1470,02/13/25 05:00:00 a.m.,5.847,99.616,,,,
1471,02/13/25 05:30:00 a.m.,5.616,99.768,,,,
1472,02/13/25 06:00:00 a.m.,5.770,99.909,,,,
1473,02/13/25 06:30:00 a.m.,5.898,99.945,,,,
1474,02/13/25 07:00:00 a.m.,6.051,100.000,,,,
1475,02/13/25 07:30:00 a.m.,6.102,100.000,,,,
1476,02/13/25 08:00:00 a.m.,6.255,100.000,,,,
1477,02/13/25 08:30:00 a.m.,6.990,100.000,,,,
1478,02/13/25 09:00:00 a.m.,7.444,100.000,,,,
1479,02/13/25 09:30:00 a.m.,7.444,100.000,,,,
1480,02/13/25 10:00:00 a.m.,7.970,100.000,,,,
1481,02/13/25 10:30:00 a.m.,9.903,100.000,,,,
1482,02/13/25 11:00:00 a.m.,10.907,100.000,,,,
1483,02/13/25 11:30:00 a.m.,9.854,99.302,,,,
1484,02/13/25 12:00:00 p.m.,10.075,98.570,,,,
1485,02/13/25 12:30:00 p.m.,10.296,98.233,,,,
1486,02/13/25 01:00:00 p.m.,9.928,97.533,,,,
1487,02/13/25 01:30:00 p.m.,8.170,97.102,,,,
1488,02/13/25 02:00:00 p.m.,6.458,97.175,,,,
1489,02/13/25 02:30:00 p.m.,6.839,98.214,,,,
1490,02/13/25 03:00:00 p.m.,7.268,99.044,,,,
1491,02/13/25 03:30:00 p.m.,7.116,99.417,,,,
1492,02/13/25 04:00:00 p.m.,7.268,99.752,,,,
1493,02/13/25 04:30:00 p.m.,7.268,99.704,,,,
1494,02/13/25 05:00:00 p.m.,7.242,99.843,,,,
1495,02/13/25 05:30:00 p.m.,7.519,100.000,,,,
1496,02/13/25 06:00:00 p.m.,7.393,99.934,,,,
1497,02/13/25 06:30:00 p.m.,6.560,99.843,,,,
1498,02/13/25 07:00:00 p.m.,5.693,99.742,,,,
1499,02/13/25 07:30:00 p.m.,4.246,99.618,,,,
1500,02/13/25 08:00:00 p.m.,3.670,99.932,,,,
1501,02/13/25 08:30:00 p.m.,4.402,100.000,,,,
1502,02/13/25 09:00:00 p.m.,5.050,100.000,,,,
1503,02/13/25 09:30:00 p.m.,5.257,100.000,,,,
