"Título de trazado: 20759041"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 20759041, SEN S/N: 20759041, LBL: TempC)","Event, units (LGR S/N: 20759041, SEN S/N: 20759041, LBL: 0.2mm)","Acoplador adjunto (LGR S/N: 20759041)","Host conectado (LGR S/N: 20759041)","Acoplador separado (LGR S/N: 20759041)","Final de archivo (LGR S/N: 20759041)"
2149,02/13/25 11:59:56 a.m.,,668.00,,,,
2150,02/13/25 12:00:00 p.m.,12.110,,,,,
2151,02/13/25 12:04:01 p.m.,,669.00,,,,
2152,02/13/25 12:05:56 p.m.,,670.00,,,,
2153,02/13/25 12:09:26 p.m.,,671.00,,,,
2154,02/13/25 12:13:46 p.m.,,672.00,,,,
2155,02/13/25 12:21:08 p.m.,,673.00,,,,
2156,02/13/25 12:28:30 p.m.,,674.00,,,,
2157,02/13/25 12:30:00 p.m.,11.528,,,,,
2158,02/13/25 12:35:56 p.m.,,675.00,,,,
2159,02/13/25 12:45:30 p.m.,,676.00,,,,
2160,02/13/25 12:49:48 p.m.,,677.00,,,,
2161,02/13/25 12:52:09 p.m.,,678.00,,,,
2162,02/13/25 12:55:23 p.m.,,679.00,,,,
2163,02/13/25 01:00:00 p.m.,11.625,,,,,
2164,02/13/25 01:01:14 p.m.,,680.00,,,,
2165,02/13/25 01:07:25 p.m.,,681.00,,,,
2166,02/13/25 01:11:32 p.m.,,682.00,,,,
2167,02/13/25 01:14:49 p.m.,,683.00,,,,
2168,02/13/25 01:18:25 p.m.,,684.00,,,,
2169,02/13/25 01:21:00 p.m.,,685.00,,,,
2170,02/13/25 01:22:22 p.m.,,686.00,,,,
2171,02/13/25 01:24:03 p.m.,,687.00,,,,
2172,02/13/25 01:26:14 p.m.,,688.00,,,,
2173,02/13/25 01:29:15 p.m.,,689.00,,,,
2174,02/13/25 01:30:00 p.m.,9.669,,,,,
2175,02/13/25 01:31:23 p.m.,,690.00,,,,
2176,02/13/25 01:35:00 p.m.,,691.00,,,,
2177,02/13/25 01:38:03 p.m.,,692.00,,,,
2178,02/13/25 01:41:15 p.m.,,693.00,,,,
2179,02/13/25 01:44:37 p.m.,,694.00,,,,
2180,02/13/25 01:48:58 p.m.,,695.00,,,,
2181,02/13/25 01:51:51 p.m.,,696.00,,,,
2182,02/13/25 01:56:37 p.m.,,697.00,,,,
2183,02/13/25 02:00:00 p.m.,6.978,,,,,
2184,02/13/25 02:01:03 p.m.,,698.00,,,,
2185,02/13/25 02:07:05 p.m.,,699.00,,,,
2186,02/13/25 02:14:33 p.m.,,700.00,,,,
2187,02/13/25 02:21:53 p.m.,,701.00,,,,
2188,02/13/25 02:28:21 p.m.,,702.00,,,,
2189,02/13/25 02:30:00 p.m.,6.877,,,,,
2190,02/13/25 02:33:32 p.m.,,703.00,,,,
2191,02/13/25 02:37:04 p.m.,,704.00,,,,
2192,02/13/25 02:45:11 p.m.,,705.00,,,,
2193,02/13/25 02:49:11 p.m.,,706.00,,,,
2194,02/13/25 02:52:50 p.m.,,707.00,,,,
2195,02/13/25 02:56:08 p.m.,,708.00,,,,
2196,02/13/25 03:00:00 p.m.,7.280,,,,,
2197,02/13/25 03:30:00 p.m.,7.983,,,,,
2198,02/13/25 03:35:17 p.m.,,709.00,,,,
2199,02/13/25 03:48:44 p.m.,,710.00,,,,
2200,02/13/25 04:00:00 p.m.,7.882,,,,,
2201,02/13/25 04:28:54 p.m.,,711.00,,,,
2202,02/13/25 04:30:00 p.m.,8.182,,,,,
2203,02/13/25 05:00:00 p.m.,7.682,,,,,
2204,02/13/25 05:01:24 p.m.,,712.00,,,,
2205,02/13/25 05:30:00 p.m.,7.983,,,,,
2206,02/13/25 06:00:00 p.m.,7.582,,,,,
2207,02/13/25 06:30:00 p.m.,6.471,,,,,
2208,02/13/25 07:00:00 p.m.,5.347,,,,,
2209,02/13/25 07:30:00 p.m.,3.788,,,,,
2210,02/13/25 08:00:00 p.m.,3.049,,,,,
2211,02/13/25 08:30:00 p.m.,4.415,,,,,
2212,02/13/25 09:00:00 p.m.,5.037,,,,,
2213,02/13/25 09:30:00 p.m.,5.244,,,,,
2214,02/13/25 10:00:00 p.m.,4.934,,,,,
2215,02/13/25 10:30:00 p.m.,3.683,,,,,
2216,02/13/25 11:00:00 p.m.,3.367,,,,,
2217,02/13/25 11:30:00 p.m.,3.367,,,,,
2218,02/14/25 12:00:00 a.m.,3.893,,,,,
2219,02/14/25 12:30:00 a.m.,3.683,,,,,
2220,02/14/25 01:00:00 a.m.,3.578,,,,,
2221,02/14/25 01:30:00 a.m.,4.207,,,,,
2222,02/14/25 02:00:00 a.m.,4.311,,,,,
2223,02/14/25 02:30:00 a.m.,4.727,,,,,
2224,02/14/25 03:00:00 a.m.,4.727,,,,,
2225,02/14/25 03:30:00 a.m.,4.727,,,,,
2226,02/14/25 04:00:00 a.m.,4.623,,,,,
2227,02/14/25 04:30:00 a.m.,5.037,,,,,
2228,02/14/25 05:00:00 a.m.,5.141,,,,,
2229,02/14/25 05:30:00 a.m.,5.141,,,,,
2230,02/14/25 06:00:00 a.m.,4.831,,,,,
2231,02/14/25 06:30:00 a.m.,4.727,,,,,
2232,02/14/25 07:00:00 a.m.,4.727,,,,,
2233,02/14/25 07:30:00 a.m.,5.655,,,,,
2234,02/14/25 08:00:00 a.m.,7.481,,,,,
2235,02/14/25 08:30:00 a.m.,9.275,,,,,
2236,02/14/25 09:00:00 a.m.,11.528,,,,,
2237,02/14/25 09:30:00 a.m.,9.571,,,,,
2238,02/14/25 09:35:44 a.m.,,713.00,,,,
2239,02/14/25 09:39:03 a.m.,,714.00,,,,
2240,02/14/25 09:42:03 a.m.,,715.00,,,,
2241,02/14/25 09:44:02 a.m.,,716.00,,,,
2242,02/14/25 09:47:40 a.m.,,717.00,,,,
2243,02/14/25 09:49:46 a.m.,,718.00,,,,
2244,02/14/25 09:53:12 a.m.,,719.00,,,,
2245,02/14/25 09:56:08 a.m.,,720.00,,,,
2246,02/14/25 10:00:00 a.m.,9.176,,,,,
2247,02/14/25 10:10:58 a.m.,,721.00,,,,
2248,02/14/25 10:15:07 a.m.,,722.00,,,,
2249,02/14/25 10:20:35 a.m.,,723.00,,,,
2250,02/14/25 10:28:29 a.m.,,724.00,,,,
2251,02/14/25 10:30:00 a.m.,10.455,,,,,
2252,02/14/25 10:34:54 a.m.,,725.00,,,,
2253,02/14/25 10:39:30 a.m.,,726.00,,,,
2254,02/14/25 10:47:15 a.m.,,727.00,,,,
2255,02/14/25 10:52:29 a.m.,,728.00,,,,
2256,02/14/25 10:59:51 a.m.,,729.00,,,,
2257,02/14/25 11:00:00 a.m.,9.866,,,,,
2258,02/14/25 11:06:51 a.m.,,730.00,,,,
2259,02/14/25 11:16:30 a.m.,,731.00,,,,
2260,02/14/25 11:30:00 a.m.,12.401,,,,,
2261,02/14/25 12:00:00 p.m.,10.651,,,,,
2262,02/14/25 12:09:59 p.m.,,732.00,,,,
2263,02/14/25 12:15:02 p.m.,,733.00,,,,
2264,02/14/25 12:17:38 p.m.,,734.00,,,,
2265,02/14/25 12:29:59 p.m.,,735.00,,,,
2266,02/14/25 12:30:00 p.m.,9.768,,,,,
2267,02/14/25 12:53:01 p.m.,,736.00,,,,
2268,02/14/25 12:56:21 p.m.,,737.00,,,,
2269,02/14/25 12:58:25 p.m.,,738.00,,,,
2270,02/14/25 01:00:00 p.m.,11.041,,,,,
2271,02/14/25 01:03:00 p.m.,,739.00,,,,
2272,02/14/25 01:08:37 p.m.,,740.00,,,,
2273,02/14/25 01:30:00 p.m.,16.903,,,,,
2274,02/14/25 02:00:00 p.m.,14.038,,,,,
2275,02/14/25 02:30:00 p.m.,10.161,,,,,
2276,02/14/25 02:41:55 p.m.,,741.00,,,,
2277,02/14/25 02:47:13 p.m.,,742.00,,,,
2278,02/14/25 02:52:06 p.m.,,743.00,,,,
2279,02/14/25 02:56:15 p.m.,,744.00,,,,
2280,02/14/25 03:00:00 p.m.,9.373,,,,,
2281,02/14/25 03:02:58 p.m.,,745.00,,,,
2282,02/14/25 03:06:13 p.m.,,746.00,,,,
2283,02/14/25 03:12:19 p.m.,,747.00,,,,
2284,02/14/25 03:18:25 p.m.,,748.00,,,,
2285,02/14/25 03:27:09 p.m.,,749.00,,,,
2286,02/14/25 03:30:00 p.m.,9.275,,,,,
2287,02/14/25 03:30:45 p.m.,,750.00,,,,
2288,02/14/25 03:48:36 p.m.,,751.00,,,,
2289,02/14/25 04:00:00 p.m.,10.748,,,,,
2290,02/14/25 04:30:00 p.m.,11.916,,,,,
2291,02/14/25 05:00:00 p.m.,9.768,,,,,
2292,02/14/25 05:30:00 p.m.,8.680,,,,,
2293,02/14/25 06:00:00 p.m.,8.182,,,,,
2294,02/14/25 06:26:38 p.m.,,752.00,,,,
2295,02/14/25 06:30:00 p.m.,7.280,,,,,
2296,02/14/25 07:00:00 p.m.,6.978,,,,,
2297,02/14/25 07:30:00 p.m.,6.877,,,,,
2298,02/14/25 07:59:30 p.m.,,753.00,,,,
2299,02/14/25 08:00:00 p.m.,6.674,,,,,
2300,02/14/25 08:30:00 p.m.,6.471,,,,,
2301,02/14/25 09:00:00 p.m.,6.471,,,,,
2302,02/14/25 09:30:00 p.m.,6.166,,,,,
2303,02/14/25 10:00:00 p.m.,5.860,,,,,
2304,02/14/25 10:30:00 p.m.,5.757,,,,,
2305,02/14/25 11:00:00 p.m.,5.860,,,,,
2306,02/14/25 11:30:00 p.m.,5.860,,,,,
2307,02/15/25 12:00:00 a.m.,5.860,,,,,
2308,02/15/25 12:19:37 a.m.,,754.00,,,,
2309,02/15/25 12:30:00 a.m.,5.860,,,,,
2310,02/15/25 12:30:02 a.m.,,755.00,,,,
2311,02/15/25 12:34:36 a.m.,,756.00,,,,
2312,02/15/25 12:40:35 a.m.,,757.00,,,,
2313,02/15/25 12:52:13 a.m.,,758.00,,,,
2314,02/15/25 01:00:00 a.m.,5.552,,,,,
2315,02/15/25 01:30:00 a.m.,5.347,,,,,
2316,02/15/25 02:00:00 a.m.,5.244,,,,,
2317,02/15/25 02:30:00 a.m.,5.552,,,,,
2318,02/15/25 03:00:00 a.m.,5.552,,,,,
2319,02/15/25 03:30:00 a.m.,5.347,,,,,
2320,02/15/25 04:00:00 a.m.,5.655,,,,,
2321,02/15/25 04:30:00 a.m.,5.655,,,,,
2322,02/15/25 05:00:00 a.m.,5.655,,,,,
2323,02/15/25 05:08:39 a.m.,,759.00,,,,
2324,02/15/25 05:30:00 a.m.,5.655,,,,,
2325,02/15/25 05:30:24 a.m.,,760.00,,,,
2326,02/15/25 05:41:42 a.m.,,761.00,,,,
2327,02/15/25 05:48:11 a.m.,,762.00,,,,
2328,02/15/25 05:57:28 a.m.,,763.00,,,,
2329,02/15/25 06:00:00 a.m.,5.450,,,,,
2330,02/15/25 06:30:00 a.m.,5.347,,,,,
2331,02/15/25 06:43:34 a.m.,,764.00,,,,
2332,02/15/25 07:00:00 a.m.,5.757,,,,,
2333,02/15/25 07:30:00 a.m.,6.370,,,,,
2334,02/15/25 07:58:47 a.m.,,765.00,,,,
2335,02/15/25 08:00:00 a.m.,8.481,,,,,
2336,02/15/25 08:30:00 a.m.,11.528,,,,,
2337,02/15/25 09:00:00 a.m.,11.236,,,,,
2338,02/15/25 09:17:39 a.m.,,766.00,,,,
2339,02/15/25 09:21:10 a.m.,,767.00,,,,
2340,02/15/25 09:22:43 a.m.,,768.00,,,,
2341,02/15/25 09:24:51 a.m.,,769.00,,,,
2342,02/15/25 09:26:50 a.m.,,770.00,,,,
2343,02/15/25 09:28:53 a.m.,,771.00,,,,
2344,02/15/25 09:30:00 a.m.,8.581,,,,,
2345,02/15/25 09:30:04 a.m.,,772.00,,,,
2346,02/15/25 09:32:42 a.m.,,773.00,,,,
2347,02/15/25 09:34:48 a.m.,,774.00,,,,
2348,02/15/25 09:39:10 a.m.,,775.00,,,,
2349,02/15/25 09:42:08 a.m.,,776.00,,,,
2350,02/15/25 09:48:03 a.m.,,777.00,,,,
2351,02/15/25 09:53:26 a.m.,,778.00,,,,
2352,02/15/25 10:00:00 a.m.,9.965,,,,,
2353,02/15/25 10:02:10 a.m.,,779.00,,,,
2354,02/15/25 10:08:56 a.m.,,780.00,,,,
2355,02/15/25 10:25:33 a.m.,,781.00,,,,
2356,02/15/25 10:30:00 a.m.,11.431,,,,,
2357,02/15/25 10:44:53 a.m.,,782.00,,,,
2358,02/15/25 11:00:00 a.m.,11.528,,,,,
2359,02/15/25 11:30:00 a.m.,12.013,,,,,
2360,02/15/25 11:30:54 a.m.,,783.00,,,,
2361,02/15/25 11:35:56 a.m.,,784.00,,,,
2362,02/15/25 11:39:44 a.m.,,785.00,,,,
2363,02/15/25 11:42:38 a.m.,,786.00,,,,
2364,02/15/25 11:44:12 a.m.,,787.00,,,,
2365,02/15/25 11:45:42 a.m.,,788.00,,,,
2366,02/15/25 11:47:26 a.m.,,789.00,,,,
2367,02/15/25 11:48:19 a.m.,,790.00,,,,
2368,02/15/25 11:49:08 a.m.,,791.00,,,,
2369,02/15/25 11:49:55 a.m.,,792.00,,,,
2370,02/15/25 11:50:50 a.m.,,793.00,,,,
2371,02/15/25 11:52:07 a.m.,,794.00,,,,
2372,02/15/25 11:53:06 a.m.,,795.00,,,,
2373,02/15/25 11:53:57 a.m.,,796.00,,,,
2374,02/15/25 11:55:01 a.m.,,797.00,,,,
2375,02/15/25 11:55:57 a.m.,,798.00,,,,
2376,02/15/25 11:58:04 a.m.,,799.00,,,,
2377,02/15/25 12:00:00 p.m.,9.472,,,,,
2378,02/15/25 12:00:02 p.m.,,800.00,,,,
2379,02/15/25 12:04:10 p.m.,,801.00,,,,
2380,02/15/25 12:06:37 p.m.,,802.00,,,,
2381,02/15/25 12:12:31 p.m.,,803.00,,,,
2382,02/15/25 12:16:18 p.m.,,804.00,,,,
2383,02/15/25 12:20:03 p.m.,,805.00,,,,
2384,02/15/25 12:24:23 p.m.,,806.00,,,,
2385,02/15/25 12:29:34 p.m.,,807.00,,,,
2386,02/15/25 12:30:00 p.m.,9.176,,,,,
2387,02/15/25 12:45:12 p.m.,,808.00,,,,
2388,02/15/25 12:51:08 p.m.,,809.00,,,,
2389,02/15/25 12:59:24 p.m.,,810.00,,,,
2390,02/15/25 01:00:00 p.m.,8.779,,,,,
2391,02/15/25 01:17:50 p.m.,,811.00,,,,
2392,02/15/25 01:30:00 p.m.,9.275,,,,,
2393,02/15/25 02:00:00 p.m.,11.041,,,,,
2394,02/15/25 02:30:00 p.m.,10.455,,,,,
2395,02/15/25 02:45:10 p.m.,,812.00,,,,
2396,02/15/25 03:00:00 p.m.,9.176,,,,,
2397,02/15/25 03:04:56 p.m.,,813.00,,,,
2398,02/15/25 03:11:48 p.m.,,814.00,,,,
2399,02/15/25 03:30:00 p.m.,9.768,,,,,
2400,02/15/25 04:00:00 p.m.,10.161,,,,,
2401,02/15/25 04:07:24 p.m.,,815.00,,,,
2402,02/15/25 04:09:48 p.m.,,816.00,,,,
2403,02/15/25 04:12:24 p.m.,,817.00,,,,
2404,02/15/25 04:17:48 p.m.,,818.00,,,,
2405,02/15/25 04:24:19 p.m.,,819.00,,,,
2406,02/15/25 04:26:02 p.m.,,820.00,,,,
2407,02/15/25 04:28:48 p.m.,,821.00,,,,
2408,02/15/25 04:30:00 p.m.,8.082,,,,,
2409,02/15/25 04:30:58 p.m.,,822.00,,,,
2410,02/15/25 04:36:18 p.m.,,823.00,,,,
2411,02/15/25 04:40:40 p.m.,,824.00,,,,
2412,02/15/25 04:47:25 p.m.,,825.00,,,,
2413,02/15/25 05:00:00 p.m.,7.481,,,,,
2414,02/15/25 05:01:05 p.m.,,826.00,,,,
2415,02/15/25 05:08:21 p.m.,,827.00,,,,
2416,02/15/25 05:14:27 p.m.,,828.00,,,,
2417,02/15/25 05:20:42 p.m.,,829.00,,,,
2418,02/15/25 05:30:00 p.m.,7.179,,,,,
2419,02/15/25 05:30:50 p.m.,,830.00,,,,
2420,02/15/25 06:00:00 p.m.,6.674,,,,,
2421,02/15/25 06:00:48 p.m.,,831.00,,,,
2422,02/15/25 06:12:57 p.m.,,832.00,,,,
2423,02/15/25 06:19:33 p.m.,,833.00,,,,
2424,02/15/25 06:22:36 p.m.,,834.00,,,,
2425,02/15/25 06:25:59 p.m.,,835.00,,,,
2426,02/15/25 06:28:44 p.m.,,836.00,,,,
2427,02/15/25 06:30:00 p.m.,6.471,,,,,
2428,02/15/25 06:32:11 p.m.,,837.00,,,,
2429,02/15/25 06:35:02 p.m.,,838.00,,,,
2430,02/15/25 06:40:02 p.m.,,839.00,,,,
2431,02/15/25 06:44:25 p.m.,,840.00,,,,
2432,02/15/25 06:52:06 p.m.,,841.00,,,,
2433,02/15/25 06:59:32 p.m.,,842.00,,,,
2434,02/15/25 07:00:00 p.m.,6.268,,,,,
2435,02/15/25 07:16:36 p.m.,,843.00,,,,
2436,02/15/25 07:22:58 p.m.,,844.00,,,,
2437,02/15/25 07:30:00 p.m.,6.268,,,,,
2438,02/15/25 07:31:24 p.m.,,845.00,,,,
2439,02/15/25 07:37:57 p.m.,,846.00,,,,
2440,02/15/25 07:45:55 p.m.,,847.00,,,,
2441,02/15/25 07:51:39 p.m.,,848.00,,,,
2442,02/15/25 07:57:01 p.m.,,849.00,,,,
2443,02/15/25 08:00:00 p.m.,6.166,,,,,
2444,02/15/25 08:01:20 p.m.,,850.00,,,,
2445,02/15/25 08:08:51 p.m.,,851.00,,,,
2446,02/15/25 08:13:54 p.m.,,852.00,,,,
2447,02/15/25 08:21:30 p.m.,,853.00,,,,
2448,02/15/25 08:28:43 p.m.,,854.00,,,,
2449,02/15/25 08:30:00 p.m.,5.962,,,,,
2450,02/15/25 08:36:15 p.m.,,855.00,,,,
2451,02/15/25 08:40:18 p.m.,,856.00,,,,
2452,02/15/25 08:45:47 p.m.,,857.00,,,,
2453,02/15/25 08:49:39 p.m.,,858.00,,,,
2454,02/15/25 08:55:03 p.m.,,859.00,,,,
2455,02/15/25 09:00:00 p.m.,5.757,,,,,
2456,02/15/25 09:00:03 p.m.,,860.00,,,,
2457,02/15/25 09:08:21 p.m.,,861.00,,,,
2458,02/15/25 09:22:50 p.m.,,862.00,,,,
2459,02/15/25 09:30:00 p.m.,5.347,,,,,
2460,02/15/25 09:50:04 p.m.,,863.00,,,,
2461,02/15/25 10:00:00 p.m.,5.141,,,,,
2462,02/15/25 10:05:01 p.m.,,864.00,,,,
2463,02/15/25 10:30:00 p.m.,5.037,,,,,
2464,02/15/25 10:40:26 p.m.,,865.00,,,,
2465,02/15/25 11:00:00 p.m.,4.934,,,,,
2466,02/15/25 11:30:00 p.m.,4.831,,,,,
2467,02/15/25 11:41:02 p.m.,,866.00,,,,
2468,02/16/25 12:00:00 a.m.,4.727,,,,,
2469,02/16/25 12:22:56 a.m.,,867.00,,,,
2470,02/16/25 12:30:00 a.m.,4.623,,,,,
2471,02/16/25 01:00:00 a.m.,4.831,,,,,
2472,02/16/25 01:21:02 a.m.,,868.00,,,,
2473,02/16/25 01:30:00 a.m.,5.037,,,,,
2474,02/16/25 02:00:00 a.m.,5.141,,,,,
2475,02/16/25 02:26:38 a.m.,,869.00,,,,
2476,02/16/25 02:30:00 a.m.,5.244,,,,,
2477,02/16/25 02:46:56 a.m.,,870.00,,,,
2478,02/16/25 03:00:00 a.m.,5.347,,,,,
2479,02/16/25 03:11:52 a.m.,,871.00,,,,
2480,02/16/25 03:24:40 a.m.,,872.00,,,,
2481,02/16/25 03:30:00 a.m.,5.450,,,,,
2482,02/16/25 03:48:46 a.m.,,873.00,,,,
2483,02/16/25 04:00:00 a.m.,5.450,,,,,
2484,02/16/25 04:00:27 a.m.,,874.00,,,,
2485,02/16/25 04:14:47 a.m.,,875.00,,,,
2486,02/16/25 04:20:54 a.m.,,876.00,,,,
2487,02/16/25 04:30:00 a.m.,5.347,,,,,
2488,02/16/25 04:34:47 a.m.,,877.00,,,,
2489,02/16/25 04:43:20 a.m.,,878.00,,,,
2490,02/16/25 05:00:00 a.m.,5.244,,,,,
2491,02/16/25 05:05:47 a.m.,,879.00,,,,
2492,02/16/25 05:22:34 a.m.,,880.00,,,,
2493,02/16/25 05:30:00 a.m.,4.934,,,,,
2494,02/16/25 06:00:00 a.m.,4.831,,,,,
2495,02/16/25 06:30:00 a.m.,4.934,,,,,
2496,02/16/25 07:00:00 a.m.,5.037,,,,,
2497,02/16/25 07:30:00 a.m.,5.757,,,,,
2498,02/16/25 08:00:00 a.m.,6.471,,,,,
2499,02/16/25 08:30:00 a.m.,7.582,,,,,
2500,02/16/25 09:00:00 a.m.,8.481,,,,,
2501,02/16/25 09:30:00 a.m.,9.373,,,,,
2502,02/16/25 10:00:00 a.m.,9.571,,,,,
2503,02/16/25 10:30:00 a.m.,10.748,,,,,
2504,02/16/25 11:00:00 a.m.,12.883,,,,,
2505,02/16/25 11:30:00 a.m.,14.421,,,,,
2506,02/16/25 12:00:00 p.m.,13.942,,,,,
2507,02/16/25 12:30:00 p.m.,16.713,,,,,
2508,02/16/25 01:00:00 p.m.,18.996,,,,,
2509,02/16/25 01:30:00 p.m.,16.808,,,,,
2510,02/16/25 02:00:00 p.m.,20.901,,,,,
2511,02/16/25 02:30:00 p.m.,16.618,,,,,
2512,02/16/25 02:37:30 p.m.,,881.00,,,,
2513,02/16/25 02:42:39 p.m.,,882.00,,,,
2514,02/16/25 02:44:36 p.m.,,883.00,,,,
2515,02/16/25 02:46:24 p.m.,,884.00,,,,
2516,02/16/25 02:48:19 p.m.,,885.00,,,,
2517,02/16/25 02:49:58 p.m.,,886.00,,,,
2518,02/16/25 02:54:52 p.m.,,887.00,,,,
2519,02/16/25 02:56:11 p.m.,,888.00,,,,
2520,02/16/25 02:57:45 p.m.,,889.00,,,,
2521,02/16/25 02:58:21 p.m.,,890.00,,,,
2522,02/16/25 02:59:15 p.m.,,891.00,,,,
2523,02/16/25 02:59:57 p.m.,,892.00,,,,
2524,02/16/25 03:00:00 p.m.,10.161,,,,,
2525,02/16/25 03:01:29 p.m.,,893.00,,,,
2526,02/16/25 03:04:04 p.m.,,894.00,,,,
2527,02/16/25 03:08:02 p.m.,,895.00,,,,
2528,02/16/25 03:13:21 p.m.,,896.00,,,,
2529,02/16/25 03:21:07 p.m.,,897.00,,,,
2530,02/16/25 03:30:00 p.m.,9.768,,,,,
2531,02/16/25 03:33:36 p.m.,,898.00,,,,
2532,02/16/25 04:00:00 p.m.,12.594,,,,,
2533,02/16/25 04:30:00 p.m.,12.401,,,,,
2534,02/16/25 05:00:00 p.m.,11.041,,,,,
2535,02/16/25 05:30:00 p.m.,9.965,,,,,
2536,02/16/25 06:00:00 p.m.,9.472,,,,,
2537,02/16/25 06:30:00 p.m.,7.882,,,,,
2538,02/16/25 07:00:00 p.m.,6.978,,,,,
2539,02/16/25 07:30:00 p.m.,6.674,,,,,
2540,02/16/25 08:00:00 p.m.,6.775,,,,,
2541,02/16/25 08:30:00 p.m.,6.573,,,,,
2542,02/16/25 08:45:34 p.m.,,899.00,,,,
2543,02/16/25 09:00:00 p.m.,6.370,,,,,
2544,02/16/25 09:30:00 p.m.,6.268,,,,,
2545,02/16/25 10:00:00 p.m.,6.064,,,,,
2546,02/16/25 10:30:00 p.m.,5.860,,,,,
2547,02/16/25 10:54:04 p.m.,,900.00,,,,
2548,02/16/25 11:00:00 p.m.,5.757,,,,,
2549,02/16/25 11:13:33 p.m.,,901.00,,,,
2550,02/16/25 11:17:10 p.m.,,902.00,,,,
2551,02/16/25 11:30:00 p.m.,5.757,,,,,
2552,02/16/25 11:39:52 p.m.,,903.00,,,,
2553,02/17/25 12:00:00 a.m.,5.655,,,,,
2554,02/17/25 12:18:33 a.m.,,904.00,,,,
2555,02/17/25 12:30:00 a.m.,5.552,,,,,
2556,02/17/25 12:37:24 a.m.,,905.00,,,,
2557,02/17/25 12:52:33 a.m.,,906.00,,,,
2558,02/17/25 01:00:00 a.m.,5.552,,,,,
2559,02/17/25 01:01:31 a.m.,,907.00,,,,
2560,02/17/25 01:06:19 a.m.,,908.00,,,,
2561,02/17/25 01:11:53 a.m.,,909.00,,,,
2562,02/17/25 01:16:05 a.m.,,910.00,,,,
2563,02/17/25 01:23:45 a.m.,,911.00,,,,
2564,02/17/25 01:29:32 a.m.,,912.00,,,,
2565,02/17/25 01:30:00 a.m.,5.450,,,,,
2566,02/17/25 01:36:03 a.m.,,913.00,,,,
2567,02/17/25 01:46:50 a.m.,,914.00,,,,
2568,02/17/25 02:00:00 a.m.,5.347,,,,,
2569,02/17/25 02:13:47 a.m.,,915.00,,,,
2570,02/17/25 02:18:58 a.m.,,916.00,,,,
2571,02/17/25 02:27:27 a.m.,,917.00,,,,
2572,02/17/25 02:30:00 a.m.,5.347,,,,,
2573,02/17/25 02:35:01 a.m.,,918.00,,,,
2574,02/17/25 02:41:00 a.m.,,919.00,,,,
2575,02/17/25 02:44:45 a.m.,,920.00,,,,
2576,02/17/25 02:52:43 a.m.,,921.00,,,,
2577,02/17/25 03:00:00 a.m.,5.141,,,,,
2578,02/17/25 03:11:33 a.m.,,922.00,,,,
2579,02/17/25 03:21:45 a.m.,,923.00,,,,
2580,02/17/25 03:27:20 a.m.,,924.00,,,,
2581,02/17/25 03:30:00 a.m.,5.141,,,,,
2582,02/17/25 03:34:07 a.m.,,925.00,,,,
2583,02/17/25 03:37:35 a.m.,,926.00,,,,
2584,02/17/25 03:42:02 a.m.,,927.00,,,,
2585,02/17/25 03:44:51 a.m.,,928.00,,,,
2586,02/17/25 03:48:53 a.m.,,929.00,,,,
2587,02/17/25 03:52:58 a.m.,,930.00,,,,
2588,02/17/25 03:58:16 a.m.,,931.00,,,,
2589,02/17/25 04:00:00 a.m.,5.141,,,,,
2590,02/17/25 04:03:08 a.m.,,932.00,,,,
2591,02/17/25 04:09:58 a.m.,,933.00,,,,
2592,02/17/25 04:23:04 a.m.,,934.00,,,,
2593,02/17/25 04:30:00 a.m.,4.934,,,,,
2594,02/17/25 04:39:26 a.m.,,935.00,,,,
2595,02/17/25 04:53:15 a.m.,,936.00,,,,
2596,02/17/25 05:00:00 a.m.,4.727,,,,,
2597,02/17/25 05:26:29 a.m.,,937.00,,,,
2598,02/17/25 05:30:00 a.m.,4.519,,,,,
2599,02/17/25 05:46:09 a.m.,,938.00,,,,
2600,02/17/25 06:00:00 a.m.,4.415,,,,,
2601,02/17/25 06:30:00 a.m.,4.102,,,,,
2602,02/17/25 07:00:00 a.m.,4.415,,,,,
2603,02/17/25 07:30:00 a.m.,6.268,,,,,
2604,02/17/25 08:00:00 a.m.,8.282,,,,,
2605,02/17/25 08:30:00 a.m.,9.866,,,,,
2606,02/17/25 09:00:00 a.m.,13.942,,,,,
2607,02/17/25 09:30:00 a.m.,13.076,,,,,
2608,02/17/25 09:40:45 a.m.,,939.00,,,,
2609,02/17/25 10:00:00 a.m.,12.690,,,,,
2610,02/17/25 10:30:00 a.m.,12.497,,,,,
2611,02/17/25 10:40:27 a.m.,,940.00,,,,
2612,02/17/25 11:00:00 a.m.,9.571,,,,,
2613,02/17/25 11:30:00 a.m.,9.571,,,,,
2614,02/17/25 11:53:17 a.m.,,941.00,,,,
2615,02/17/25 11:55:10 a.m.,,942.00,,,,
2616,02/17/25 11:56:21 a.m.,,943.00,,,,
2617,02/17/25 11:56:48 a.m.,,944.00,,,,
2618,02/17/25 11:57:19 a.m.,,945.00,,,,
2619,02/17/25 11:57:51 a.m.,,946.00,,,,
2620,02/17/25 11:58:41 a.m.,,947.00,,,,
2621,02/17/25 12:00:00 p.m.,8.082,,,,,
2622,02/17/25 12:00:28 p.m.,,948.00,,,,
2623,02/17/25 12:05:01 p.m.,,949.00,,,,
